logged_name,current_catalog_name,current_catalog_id,external_source,external_id,muscle_group,equipment,movement_pattern,set_rows,completed_sets,user_count,first_logged,last_logged,new_exercise_id,new_exercise_name
Reverse Machine Flyes,Reverse Machine Flyes,323baae3-804f-4898-a7d8-0e23489678c4,free_exercise_db,Reverse_Machine_Flyes,Shoulders,machine,isolation,4,4,2,2026-08-12,2026-09-19,,
Shoulder Press,null,null,null,null,null,null,null,4,4,2,2026-07-01,2026-07-02,,
V-sit On Floor,V-sit On Floor,725947bb-e913-4a35-898f-03ded8a22420,exercisedb,ZuXu4Eq,Core,bodyweight,null,4,4,2,2026-09-14,2026-09-14,,
B1 Lat pull down,null,null,null,null,null,null,null,3,3,2,2026-07-03,2026-07-03,,
Band Horizontal Pallof Press,Band Horizontal Pallof Press,e4a71b76-6ea6-4a29-af4f-f45d78eded18,exercisedb,9pa4H5m,Core,band,push_horizontal,3,1,1,2026-09-16,2026-09-16,,
Band Pull Apart,Band Pull Apart,86f06610-53ce-4c35-b443-e9eb84f157f1,free_exercise_db,Band_Pull_Apart,Shoulders,bands,isolation,3,3,2,2026-07-15,2026-07-22,,
Bench Press - Powerlifting,Bench Press - Powerlifting,84a5ab99-4cbb-4a7c-8de5-2760ece4e259,free_exercise_db,Bench_Press_-_Powerlifting,Triceps,barbell,push_horizontal,3,3,1,2026-09-16,2026-09-16,,
Bodyweight Drop Jump Squat,Bodyweight Drop Jump Squat,d5964084-b8ff-43bb-b189-0a13c3a8846a,exercisedb,wfotm7S,Glutes,bodyweight,squat,3,3,1,2026-08-03,2026-08-03,,
Cable Trunk Rotation,Cable Trunk Rotation,ac7d4508-1f48-4baa-a2f0-a7392c657fad,null,null,Core,Cable machine,null,3,3,1,2026-09-16,2026-09-16,,
Chin-Up,Chin-Up,194f658c-9fc5-4e54-a4d8-b1e7772d4e61,null,null,Lats,bodyweight,pull_horizontal,3,3,1,2026-07-07,2026-07-07,,
Dips - Chest Version,Dips - Chest Version,9ec9d5d9-2ecd-4d45-ba8c-89e66e6faf5f,free_exercise_db,Dips_-_Chest_Version,Chest,other,push_horizontal,3,3,1,2026-09-16,2026-09-16,,
Dumbbell Bench Press,Dumbbell Bench Press,78342376-e596-48d8-8432-75ab0038a490,exercisedb,SpYC0Kp,Pectorals,dumbbell,push_horizontal,3,2,1,2026-08-26,2026-08-26,,
Dumbbell Standing Overhead Press,Dumbbell Standing Overhead Press,cde8df27-fa91-49c5-a473-17d6e8eeaa5b,exercisedb,A6wtbuL,Shoulders,dumbbell,push_vertical,3,3,1,2026-09-11,2026-09-11,,
Kettlebell Arnold Press,Kettlebell Arnold Press,a3161eca-2ade-4a96-bae3-54814c603a9e,exercisedb,UM8mgyG,Shoulders,kettlebell,push_horizontal,3,3,1,2026-09-19,2026-09-19,,
Landmine press,Landmine Row,257fd808-2c16-4c16-9959-f43a9a6f60ad,null,null,Back,,null,3,3,1,2026-07-08,2026-07-08,,
Landmine Row,Landmine Row,257fd808-2c16-4c16-9959-f43a9a6f60ad,null,null,Back,,null,3,3,1,2026-07-15,2026-07-15,,
One-Legged Cable Kickback,One-Legged Cable Kickback,46e9dadc-f310-4125-8b4f-6c820279bb5b,free_exercise_db,One-Legged_Cable_Kickback,Glutes,cable,isolation,3,3,1,2026-09-16,2026-09-16,,
Pull Up (neutral Grip),Pull Up (neutral Grip),5c0637ad-deaa-4766-8223-7c3764cf105d,exercisedb,0V2YQjW,Lats,bodyweight,pull_horizontal,3,3,1,2026-09-11,2026-09-11,,
Side Lateral Raise,Side Lateral Raise,d312003f-59d5-4acc-b48f-838dda3f41de,free_exercise_db,Side_Lateral_Raise,Shoulders,dumbbell,isolation,3,1,1,2026-09-18,2026-09-18,,
Standing Biceps Cable Curl,Standing Biceps Cable Curl,e666147d-acb5-4fa5-b580-b14176c9923b,free_exercise_db,Standing_Biceps_Cable_Curl,Biceps,cable,isolation,3,3,2,2026-07-15,2026-07-15,,
A2 1 minute plank,null,null,null,null,null,null,null,2,2,1,2026-07-03,2026-07-03,,
B2 Push ups,null,null,null,null,null,null,null,2,2,1,2026-07-03,2026-07-03,,
Bent Over Dumbbell Rear Delt Raise With Head On Bench,Bent Over Dumbbell Rear Delt Raise With Head On Bench,b761a3d1-6014-4960-994b-acdd4cf1872f,free_exercise_db,Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench,Shoulders,dumbbell,isolation,2,2,1,2026-08-26,2026-08-26,,
Dumbbell Single Leg Deadlift,Dumbbell Single Leg Deadlift,2089b715-e43c-4447-be55-043d1f57905c,exercisedb,gKozT8X,Glutes,dumbbell,hinge,2,2,1,2026-07-17,2026-07-17,,
Full Range-Of-Motion Lat Pulldown,Full Range-Of-Motion Lat Pulldown,20b2e82b-9cf8-4854-8128-59cf82c49012,free_exercise_db,Full_Range-Of-Motion_Lat_Pulldown,Lats,cable,pull_vertical,2,2,1,2026-07-10,2026-07-10,,
Seated Cable Rows,Seated Cable Rows,0a59a7cf-1723-43df-8e1a-9a880ba3e5f0,free_exercise_db,Seated_Cable_Rows,Mid Back,cable,pull_horizontal,2,2,1,2026-08-21,2026-08-21,,
Shoulder Bands,Shoulder Bands,005e66c6-0f51-4bc8-bcc2-3f3eae0b84fd,null,null,Shoulders,,null,2,2,2,2026-07-07,2026-07-08,,
Skull Crusher,Skull Crusher,85bb9d32-8c32-484e-a019-729aa753d6d6,null,null,Triceps,barbell,isolation,2,2,1,2026-09-16,2026-09-16,,
Thoracic,null,null,null,null,null,null,null,2,0,1,2026-07-22,2026-07-22,,
Back Pec Stretch,Back Pec Stretch,d94cf005-228d-4090-95b8-51fa1e7b312f,exercisedb,chfnQnM,Lats,bodyweight,rotation,1,1,1,2026-08-05,2026-08-05,,
Barbell Squat,Barbell Squat,00a9c9ff-f0a9-4460-8177-b88ed42f6a13,free_exercise_db,Barbell_Squat,Quads,barbell,squat,1,1,1,2026-07-10,2026-07-10,,
Calf Stretch With Hands Against Wall,Calf Stretch With Hands Against Wall,1f611e2e-dbc0-4141-902e-8ffc13c3ca6b,exercisedb,m0tCHqc,Calves,bodyweight,rotation,1,1,1,2026-08-24,2026-08-24,,
Chest And Front Of Shoulder Stretch,Chest And Front Of Shoulder Stretch,d599ea9d-56c6-457e-8dc2-021c16379efe,exercisedb,Uto7l43,Pectorals,bodyweight,rotation,1,1,1,2026-08-05,2026-08-05,,
Child's Pose,Child's Pose,cba62800-9d4c-42f5-83b6-fe360642c1c9,free_exercise_db,Childs_Pose,Lower Back,bodyweight,rotation,1,1,1,2026-09-17,2026-09-17,,
Dumbbell rear delt fly,Dumbbell rear delt fly,53e99a31-b475-4b60-8189-05b70a0f8f3e,null,null,null,null,null,1,1,1,2026-08-12,2026-08-12,,
Hamstring Stretch,Hamstring Stretch,989bcac7-baf0-4107-b0c0-78e946ba1e8e,exercisedb,99rWm7w,Hamstrings,bodyweight,rotation,1,1,1,2026-08-10,2026-08-10,,
Seated Glute Stretch,Seated Glute Stretch,5870050b-38d2-4c75-a893-21b287b2fd80,exercisedb,DeDThfG,Glutes,bodyweight,rotation,1,1,1,2026-08-10,2026-08-10,,
